1638176670.246340000,0.0,0.0,0.0
1638176675.449038000,0.0271766,-2.18066,0.000765728
1638176676.549612000,0.0107384,-4.2431,0.00171058
1638176677.450087000,-0.141365,-6.44404,0.00717958
1638176678.250488000,-0.329467,-8.58584,0.0191823
1638176679.050899000,-0.526551,-10.735,0.0290675
1638176679.851355000,-0.73502,-12.7929,0.0329857
1638176680.851829000,-0.970941,-14.861,0.0351175
1638176682.252552000,-1.14705,-16.9528,0.0990914
1638176683.453174000,-1.29405,-19.1124,0.185897
1638176684.653800000,-1.37446,-21.2681,0.28979
1638176685.654320000,-1.43906,-23.2858,0.356316
1638176686.554790000,-1.53426,-25.416,0.387207
1638176687.355212000,-1.62046,-27.6971,0.357141
1638176688.055579000,-1.79194,-29.7935,0.352827
1638176688.655881000,-1.97121,-31.9268,0.364546
1638176689.256209000,-2.18805,-34.1945,0.362003
1638176689.756479000,-2.38595,-36.2631,0.381319
1638176690.257055000,-2.57342,-38.4572,0.372526
1638176690.756992000,-2.79694,-40.8437,0.348082
1638176691.157174000,-2.96471,-42.8949,0.30081
1638176691.557389000,-3.11073,-45.0514,0.266125
1638176691.957596000,-3.25144,-47.2861,0.228934
1638176692.357837000,-3.38566,-49.5832,0.18942
1638176692.758249000,-3.50072,-51.9592,0.159682
1638176693.158212000,-3.57374,-54.4197,0.132631
1638176693.558423000,-3.62809,-56.9429,0.11142
1638176693.958632000,-3.66281,-59.4883,0.0871255
1638176694.358835000,-3.68525,-62.049,0.0571928
1638176694.759858000,-3.68592,-64.6386,0.0171771
1638176695.159247000,-3.68694,-67.2228,-0.0545235
1638176695.559459000,-3.68426,-69.8098,-0.111075
1638176695.959671000,-3.65704,-72.3906,-0.165645
1638176696.359879000,-3.60356,-74.9693,-0.217357
1638176696.760084000,-3.52072,-77.526,-0.268489
1638176697.160293000,-3.39714,-80.0452,-0.316456
1638176697.560503000,-3.26637,-82.5123,-0.369744
1638176697.960734000,-3.14174,-84.9232,-0.417648
1638176698.360926000,-3.02986,-87.2724,-0.461262
1638176698.761109000,-2.92832,-89.57,-0.505329
1638176699.161330000,-2.83478,-91.8019,-0.555164
1638176699.561539000,-2.74851,-93.9809,-0.605865
1638176699.961754000,-2.67594,-96.1141,-0.675631
1638176700.361955000,-2.62279,-98.2161,-0.780686
1638176700.762154000,-2.5708,-100.274,-0.900027
1638176701.162364000,-2.48485,-102.287,-1.02218
1638176701.562575000,-2.40158,-104.266,-1.14151
1638176702.062829000,-2.30948,-106.706,-1.27911
1638176702.563088000,-2.22035,-109.073,-1.41028
1638176703.063348000,-2.14271,-111.279,-1.5326
1638176703.563609000,-2.07074,-113.587,-1.67223
1638176704.064242000,-2.0096,-115.737,-1.79641
1638176704.564861000,-1.94908,-117.821,-1.90391
1638176705.064387000,-1.90565,-119.841,-2.00837
1638176705.564647000,-1.86547,-121.823,-2.10997
1638176706.064913000,-1.81876,-123.836,-2.19524
1638176706.565167000,-1.78848,-125.852,-2.29411
